model_label,condition_id,q,N,run,step,time_sweeps,record_type,leader_share,n_active_opinions
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,0,0.0,regular,0.18,6
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,5,0.1,regular,0.2,6
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,10,0.2,regular,0.24,6
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,15,0.3,regular,0.26,6
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,20,0.4,regular,0.28,6
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,25,0.5,regular,0.32,5
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,30,0.6,regular,0.4,5
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,35,0.7,regular,0.44,5
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,40,0.8,regular,0.52,5
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,45,0.9,regular,0.54,5
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,50,1.0,regular,0.6,5
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,55,1.1,regular,0.66,5
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,60,1.2,regular,0.66,5
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,65,1.3,regular,0.7,5
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,70,1.4,regular,0.7,5
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,75,1.5,regular,0.76,5
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,80,1.6,regular,0.76,5
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,85,1.7,regular,0.78,5
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,90,1.8,regular,0.84,4
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,95,1.9,regular,0.86,4
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,100,2.0,regular,0.9,4
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,105,2.1,regular,0.92,4
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,110,2.2,regular,0.92,4
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,115,2.3,regular,0.94,4
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,120,2.4,regular,0.94,4
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,125,2.5,regular,0.94,4
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,130,2.6,regular,0.94,4
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,135,2.7,regular,0.94,4
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,140,2.8,regular,0.96,3
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,145,2.9,regular,0.98,2
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,150,3.0,regular,0.98,2
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,155,3.1,regular,0.98,2
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,160,3.2,regular,0.98,2
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,165,3.3,regular,0.98,2
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,170,3.4,regular,0.98,2
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,175,3.5,regular,0.98,2
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,180,3.6,regular,0.98,2
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,185,3.7,regular,0.98,2
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,190,3.8,regular,0.98,2
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,195,3.9,regular,0.98,2
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,200,4.0,regular,0.98,2
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,205,4.1,regular,0.98,2
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,210,4.2,regular,0.98,2
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,213,4.26,consensus_event,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,215,4.3,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,220,4.4,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,225,4.5,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,230,4.6,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,235,4.7,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,240,4.8,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,245,4.9,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,250,5.0,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,255,5.1,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,260,5.2,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,265,5.3,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,270,5.4,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,275,5.5,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,280,5.6,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,285,5.7,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,290,5.8,regular,1.0,1
