model_label,block_id,label_mode,q,N,n_display,rel,leader_share,counts_role,designated_leader_label,chosen_role,valid,n
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,neutral_per_query,6,50,49,0.0,0.1836734693877551,"[9, 8, 8, 8, 8, 8]",af,3.0,True,10
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,neutral_per_query,6,50,49,0.0,0.1836734693877551,"[9, 8, 8, 8, 8, 8]",ae,0.0,True,9
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,neutral_per_query,6,50,49,0.0,0.1836734693877551,"[9, 8, 8, 8, 8, 8]",ab,0.0,True,16
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,neutral_per_query,6,50,49,0.0,0.1836734693877551,"[9, 8, 8, 8, 8, 8]",ab,5.0,True,5
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,neutral_per_query,6,50,49,0.0,0.1836734693877551,"[9, 8, 8, 8, 8, 8]",ac,5.0,True,11
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,neutral_per_query,6,50,49,0.0,0.1836734693877551,"[9, 8, 8, 8, 8, 8]",ae,1.0,True,3
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,neutral_per_query,6,50,49,0.0,0.1836734693877551,"[9, 8, 8, 8, 8, 8]",af,0.0,True,11
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,neutral_per_query,6,50,49,0.0,0.1836734693877551,"[9, 8, 8, 8, 8, 8]",ab,2.0,True,10
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,neutral_per_query,6,50,49,0.0,0.1836734693877551,"[9, 8, 8, 8, 8, 8]",ac,1.0,True,20
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,neutral_per_query,6,50,49,0.0,0.1836734693877551,"[9, 8, 8, 8, 8, 8]",aa,2.0,True,5
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,neutral_per_query,6,50,49,0.0,0.1836734693877551,"[9, 8, 8, 8, 8, 8]",aa,0.0,True,7
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,neutral_per_query,6,50,49,0.0,0.1836734693877551,"[9, 8, 8, 8, 8, 8]",ac,3.0,True,9
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,neutral_per_query,6,50,49,0.0,0.1836734693877551,"[9, 8, 8, 8, 8, 8]",ad,0.0,True,9
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,neutral_per_query,6,50,49,0.0,0.1836734693877551,"[9, 8, 8, 8, 8, 8]",ac,0.0,True,6
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,neutral_per_query,6,50,49,0.0,0.1836734693877551,"[9, 8, 8, 8, 8, 8]",aa,1.0,True,5
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,neutral_per_query,6,50,49,0.0,0.1836734693877551,"[9, 8, 8, 8, 8, 8]",ab,4.0,True,8
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,neutral_per_query,6,50,49,0.0,0.1836734693877551,"[9, 8, 8, 8, 8, 8]",ae,3.0,True,7
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,neutral_per_query,6,50,49,0.0,0.1836734693877551,"[9, 8, 8, 8, 8, 8]",af,2.0,True,4
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,neutral_per_query,6,50,49,0.0,0.1836734693877551,"[9, 8, 8, 8, 8, 8]",af,4.0,True,6
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,neutral_per_query,6,50,49,0.0,0.1836734693877551,"[9, 8, 8, 8, 8, 8]",ad,2.0,True,9
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,neutral_per_query,6,50,49,0.0,0.1836734693877551,"[9, 8, 8, 8, 8, 8]",aa,4.0,True,3
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,neutral_per_query,6,50,49,0.0,0.1836734693877551,"[9, 8, 8, 8, 8, 8]",af,1.0,True,7
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,neutral_per_query,6,50,49,0.0,0.1836734693877551,"[9, 8, 8, 8, 8, 8]",aa,3.0,True,6
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,neutral_per_query,6,50,49,0.0,0.1836734693877551,"[9, 8, 8, 8, 8, 8]",ad,5.0,True,5
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,neutral_per_query,6,50,49,0.0,0.1836734693877551,"[9, 8, 8, 8, 8, 8]",ae,2.0,True,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,neutral_per_query,6,50,49,0.0,0.1836734693877551,"[9, 8, 8, 8, 8, 8]",ae,4.0,True,6
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,neutral_per_query,6,50,49,0.0,0.1836734693877551,"[9, 8, 8, 8, 8, 8]",aa,5.0,True,5
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,neutral_per_query,6,50,49,0.0,0.1836734693877551,"[9, 8, 8, 8, 8, 8]",ad,1.0,True,8
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,neutral_per_query,6,50,49,0.0,0.1836734693877551,"[9, 8, 8, 8, 8, 8]",ae,5.0,True,5
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,neutral_per_query,6,50,49,0.0,0.1836734693877551,"[9, 8, 8, 8, 8, 8]",ac,2.0,True,6
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,neutral_per_query,6,50,49,0.0,0.1836734693877551,"[9, 8, 8, 8, 8, 8]",ab,1.0,True,5
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,neutral_per_query,6,50,49,0.0,0.1836734693877551,"[9, 8, 8, 8, 8, 8]",ad,4.0,True,4
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,neutral_per_query,6,50,49,0.0,0.1836734693877551,"[9, 8, 8, 8, 8, 8]",ab,3.0,True,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,neutral_per_query,6,50,49,0.0,0.1836734693877551,"[9, 8, 8, 8, 8, 8]",ac,4.0,True,4
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,neutral_per_query,6,50,49,0.0,0.1836734693877551,"[9, 8, 8, 8, 8, 8]",ad,3.0,True,2
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,neutral_per_query,6,50,49,0.0,0.1836734693877551,"[9, 8, 8, 8, 8, 8]",af,5.0,True,2
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,neutral_per_query,6,50,49,0.03,0.2040816326530612,"[10, 8, 8, 8, 8, 7]",af,2.0,True,8
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,neutral_per_query,6,50,49,0.03,0.2040816326530612,"[10, 8, 8, 8, 8, 7]",ae,0.0,True,13
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,neutral_per_query,6,50,49,0.03,0.2040816326530612,"[10, 8, 8, 8, 8, 7]",ad,3.0,True,7
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,neutral_per_query,6,50,49,0.03,0.2040816326530612,"[10, 8, 8, 8, 8, 7]",ab,1.0,True,7
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,neutral_per_query,6,50,49,0.03,0.2040816326530612,"[10, 8, 8, 8, 8, 7]",ac,5.0,True,6
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,neutral_per_query,6,50,49,0.03,0.2040816326530612,"[10, 8, 8, 8, 8, 7]",ab,0.0,True,13
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,neutral_per_query,6,50,49,0.03,0.2040816326530612,"[10, 8, 8, 8, 8, 7]",af,0.0,True,23
