model_label,q,n_display,rel,leader_share,shares_options,chosen_display,valid,n
gemma4_31B_dense,2,49,0.0,0.5102040816326531,"[0.4897959183673469, 0.5102040816326531]",aa,True,35
gemma4_31B_dense,2,49,0.0,0.5102040816326531,"[0.4897959183673469, 0.5102040816326531]",ab,True,35
gemma4_31B_dense,2,49,0.0,0.5102040816326531,"[0.5102040816326531, 0.4897959183673469]",aa,True,40
gemma4_31B_dense,2,49,0.0,0.5102040816326531,"[0.5102040816326531, 0.4897959183673469]",ab,True,40
gemma4_31B_dense,2,49,0.1,0.5510204081632653,"[0.4489795918367347, 0.5510204081632653]",aa,True,18
gemma4_31B_dense,2,49,0.1,0.5510204081632653,"[0.4489795918367347, 0.5510204081632653]",ab,True,58
gemma4_31B_dense,2,49,0.1,0.5510204081632653,"[0.5510204081632653, 0.4489795918367347]",aa,True,54
gemma4_31B_dense,2,49,0.1,0.5510204081632653,"[0.5510204081632653, 0.4489795918367347]",ab,True,20
gemma4_31B_dense,2,49,0.25,0.6326530612244898,"[0.3673469387755102, 0.6326530612244898]",aa,True,9
gemma4_31B_dense,2,49,0.25,0.6326530612244898,"[0.3673469387755102, 0.6326530612244898]",ab,True,61
gemma4_31B_dense,2,49,0.25,0.6326530612244898,"[0.6326530612244898, 0.3673469387755102]",aa,True,64
gemma4_31B_dense,2,49,0.25,0.6326530612244898,"[0.6326530612244898, 0.3673469387755102]",ab,True,16
gemma4_31B_dense,2,49,0.4,0.6938775510204082,"[0.30612244897959184, 0.6938775510204082]",aa,True,12
gemma4_31B_dense,2,49,0.4,0.6938775510204082,"[0.30612244897959184, 0.6938775510204082]",ab,True,59
gemma4_31B_dense,2,49,0.4,0.6938775510204082,"[0.6938775510204082, 0.30612244897959184]",aa,True,70
gemma4_31B_dense,2,49,0.4,0.6938775510204082,"[0.6938775510204082, 0.30612244897959184]",ab,True,9
gemma4_31B_dense,2,49,0.6,0.7959183673469388,"[0.20408163265306123, 0.7959183673469388]",aa,True,5
gemma4_31B_dense,2,49,0.6,0.7959183673469388,"[0.20408163265306123, 0.7959183673469388]",ab,True,76
gemma4_31B_dense,2,49,0.6,0.7959183673469388,"[0.7959183673469388, 0.20408163265306123]",aa,True,65
gemma4_31B_dense,2,49,0.6,0.7959183673469388,"[0.7959183673469388, 0.20408163265306123]",ab,True,4
gemma4_31B_dense,2,49,0.8,0.8775510204081632,"[0.12244897959183673, 0.8775510204081632]",ab,True,72
gemma4_31B_dense,2,49,0.8,0.8775510204081632,"[0.8775510204081632, 0.12244897959183673]",aa,True,74
gemma4_31B_dense,2,49,0.8,0.8775510204081632,"[0.8775510204081632, 0.12244897959183673]",ab,True,4
gemma4_31B_dense,2,49,1.0,0.9795918367346939,"[0.02040816326530612, 0.9795918367346939]",ab,True,75
gemma4_31B_dense,2,49,1.0,0.9795918367346939,"[0.9795918367346939, 0.02040816326530612]",aa,True,75
gemma4_E4B_it,2,49,0.0,0.5102040816326531,"[0.4897959183673469, 0.5102040816326531]",aa,True,36
gemma4_E4B_it,2,49,0.0,0.5102040816326531,"[0.4897959183673469, 0.5102040816326531]",ab,True,34
gemma4_E4B_it,2,49,0.0,0.5102040816326531,"[0.5102040816326531, 0.4897959183673469]",aa,True,54
gemma4_E4B_it,2,49,0.0,0.5102040816326531,"[0.5102040816326531, 0.4897959183673469]",ab,True,26
gemma4_E4B_it,2,49,0.1,0.5510204081632653,"[0.4489795918367347, 0.5510204081632653]",aa,True,32
gemma4_E4B_it,2,49,0.1,0.5510204081632653,"[0.4489795918367347, 0.5510204081632653]",ab,True,44
