model_label,q,n_display,n_valid,design_points,beta_m1,beta_ci_lo,beta_ci_hi,p_leader_smallest_lead,n_informative_points,beta_is_lower_bound,beta_c,beta_over_beta_c,rmse
gemma4_31B_dense,2,24,1050,7,3.706621440656224,3.2633676045974513,4.669344048940205,0.7533333333333333,5,False,1.0,3.706621440656224,0.0547316564058537
gemma4_31B_dense,2,49,1050,7,2.6274848797603156,2.345194192207157,3.0948984451972636,0.7466666666666667,5,False,1.0,2.6274848797603156,0.0480429721847371
gemma4_31B_dense,2,99,1050,7,3.006720486339184,2.6536028773667244,3.4589787967970467,0.7666666666666667,4,False,1.0,3.006720486339184,0.0448471920026867
gemma4_31B_dense,2,199,1050,7,4.1602966216362915,3.629721324132629,5.034339704888563,0.7933333333333333,4,False,1.0,4.1602966216362915,0.0373345580361771
gemma4_31B_dense,2,399,1050,7,6.929741094122531,5.310969741798515,9.841882039398508,0.92,4,False,1.0,6.929741094122531,0.0529018047167075
gemma4_31B_dense,2,799,1050,7,24.150737719138085,18.964771214710023,43.548225998740065,0.9933333333333333,0,True,1.0,24.150737719138085,0.023350537568054
gemma4_31B_dense,3,24,1350,9,12.616265155815917,11.118089022357513,14.397033756997324,0.7,4,False,1.3862943611198906,9.100711587417925,0.0165699810285691
gemma4_31B_dense,3,49,1650,11,13.341459869205387,12.26448004114551,14.784580528015569,0.6866666666666666,5,False,1.3862943611198906,9.623828995760865,0.0162728232092343
gemma4_31B_dense,3,99,1650,11,11.424589932825205,10.189723009173012,12.979993783491052,0.5533333333333333,6,False,1.3862943611198906,8.24109962013845,0.0249303206405643
gemma4_31B_dense,3,199,1650,11,13.190530955340357,11.990470936559285,14.981053694215278,0.5866666666666667,6,False,1.3862943611198906,9.514956797980947,0.0202671347801588
gemma4_31B_dense,3,399,1650,11,15.507686839601499,14.470229662517376,17.16457231610949,0.5733333333333334,4,False,1.3862943611198906,11.186431449576062,0.0171136892736873
gemma4_31B_dense,3,799,1650,11,15.586959649904589,14.205717715093007,17.275936410933774,0.5933333333333334,3,False,1.3862943611198906,11.243614694726862,0.0159731321321889
gemma4_31B_dense,5,24,1350,9,21.654026855729256,19.68203009420478,24.707171569264286,0.7133333333333334,2,True,1.8483924814931874,11.715058935013888,0.0114238759317139
gemma4_31B_dense,5,49,1650,11,24.199404197386592,21.94447912530061,26.67976824915597,0.4666666666666667,3,False,1.8483924814931874,13.092135160513951,0.0106318700524739
gemma4_31B_dense,5,99,1650,11,18.88225513499554,17.459195692357774,20.4354546312966,0.4,3,False,1.8483924814931874,10.215500941521837,0.0225102311340011
gemma4_31B_dense,5,199,1650,11,19.038660686573753,17.6542460363175,20.74984216061933,0.42,3,False,1.8483924814931874,10.300118009132857,0.0232631870089278
gemma4_31B_dense,5,399,1650,11,21.49851333259976,19.65029379535164,23.76879633158981,0.42,3,False,1.8483924814931874,11.630924464285101,0.018861951266376
gemma4_31B_dense,5,799,1650,11,21.486656716645868,19.767862203831697,23.628574973395718,0.4266666666666667,3,False,1.8483924814931874,11.6245099088957,0.0296169187819783
gemma4_31B_dense,10,24,1199,8,27.12574688004966,25.012311451937347,29.899828400033538,0.7919463087248322,1,True,2.471877649503247,10.973741716343,0.0107183487768227
gemma4_31B_dense,10,49,1650,11,36.436200500113564,33.86850807630722,39.00855940329109,0.35333333333333333,3,False,2.471877649503247,14.740292873086114,0.0090322151505663
gemma4_31B_dense,10,99,1650,11,30.289864766026454,27.721655497402583,32.915389714405634,0.31333333333333335,3,False,2.471877649503247,12.253788035226405,0.009365850049607
gemma4_31B_dense,10,199,1650,11,27.35996031009255,25.116750923121614,29.488727607665517,0.35333333333333333,3,False,2.471877649503247,11.068492939199826,0.0094159544502568
gemma4_31B_dense,10,399,1650,11,27.237279179924936,24.9344486121239,29.843622331713412,0.34,3,False,2.471877649503247,11.018862193846282,0.0091762858240262
gemma4_31B_dense,10,799,1650,11,32.75266949284436,29.40598114316962,36.225027461761485,0.46,3,False,2.471877649503247,13.250117577391583,0.0095871867158307
gemma4_31B_dense,25,49,1492,10,33.514387589319014,31.620761455696204,35.468099169367754,0.16666666666666666,3,False,3.3162300838413348,10.106170784898564,0.0251075197852849
gemma4_31B_dense,25,99,1643,11,48.237798975955435,44.77287501602473,52.007305529862634,0.14285714285714285,3,False,3.3162300838413348,14.545974723225319,0.0400720721428592
