model_label,set_name,q,n_display,rel,leader_option_idx,shares_options,chosen_option_idx,valid,n
gemma4_31B_dense,ai_governance_q4,4,49,0.0,0,"[0.2653061224489796, 0.24489795918367346, 0.24489795918367346, 0.24489795918367346]",0,True,20
gemma4_31B_dense,ai_governance_q4,4,49,0.0,1,"[0.24489795918367346, 0.2653061224489796, 0.24489795918367346, 0.24489795918367346]",0,True,21
gemma4_31B_dense,ai_governance_q4,4,49,0.0,2,"[0.24489795918367346, 0.24489795918367346, 0.2653061224489796, 0.24489795918367346]",0,True,14
gemma4_31B_dense,ai_governance_q4,4,49,0.0,3,"[0.24489795918367346, 0.24489795918367346, 0.24489795918367346, 0.2653061224489796]",3,True,8
gemma4_31B_dense,ai_governance_q4,4,49,0.0,0,"[0.2653061224489796, 0.24489795918367346, 0.24489795918367346, 0.24489795918367346]",2,True,10
gemma4_31B_dense,ai_governance_q4,4,49,0.0,1,"[0.24489795918367346, 0.2653061224489796, 0.24489795918367346, 0.24489795918367346]",2,True,10
gemma4_31B_dense,ai_governance_q4,4,49,0.0,2,"[0.24489795918367346, 0.24489795918367346, 0.2653061224489796, 0.24489795918367346]",2,True,17
gemma4_31B_dense,ai_governance_q4,4,49,0.0,3,"[0.24489795918367346, 0.24489795918367346, 0.24489795918367346, 0.2653061224489796]",0,True,21
gemma4_31B_dense,ai_governance_q4,4,49,0.0,1,"[0.24489795918367346, 0.2653061224489796, 0.24489795918367346, 0.24489795918367346]",3,True,5
gemma4_31B_dense,ai_governance_q4,4,49,0.0,0,"[0.2653061224489796, 0.24489795918367346, 0.24489795918367346, 0.24489795918367346]",3,True,7
gemma4_31B_dense,ai_governance_q4,4,49,0.0,3,"[0.24489795918367346, 0.24489795918367346, 0.24489795918367346, 0.2653061224489796]",2,True,8
gemma4_31B_dense,ai_governance_q4,4,49,0.0,2,"[0.24489795918367346, 0.24489795918367346, 0.2653061224489796, 0.24489795918367346]",3,True,6
